Date : 2025-10-09 19:14:40
Directory : c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib
Total : 125 files,  1720 codes, 642 comments, 156 blanks, all 2518 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        125 |      1,720 |        642 |        156 |      2,518 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |         65 |     20,822 |      1,672 |      1,878 |     24,372 |
| . (Files)                                                                                                                                |          1 |         38 |          7 |         14 |         59 |
| d:\                                                                                                                                      |         60 |    -19,102 |     -1,030 |     -1,722 |    -21,854 |
| d:\programming                                                                                                                           |         60 |    -19,102 |     -1,030 |     -1,722 |    -21,854 |
| d:\programming\github                                                                                                                    |         60 |    -19,102 |     -1,030 |     -1,722 |    -21,854 |
| d:\programming\github\clone-gg-app                                                                                                       |         60 |    -19,102 |     -1,030 |     -1,722 |    -21,854 |
| d:\programming\github\clone-gg-app\lib                                                                                                   |         60 |    -19,102 |     -1,030 |     -1,722 |    -21,854 |
| d:\programming\github\clone-gg-app\lib (Files)                                                                                           |          1 |        -38 |         -7 |        -14 |        -59 |
| d:\programming\github\clone-gg-app\lib\src                                                                                               |         59 |    -19,064 |     -1,023 |     -1,708 |    -21,795 |
| d:\programming\github\clone-gg-app\lib\src\Utility                                                                                       |          1 |        -63 |         -2 |         -7 |        -72 |
| d:\programming\github\clone-gg-app\lib\src\core                                                                                          |         10 |     -4,140 |       -426 |       -589 |     -5,155 |
| d:\programming\github\clone-gg-app\lib\src\core\database                                                                                 |          1 |       -203 |        -15 |        -28 |       -246 |
| d:\programming\github\clone-gg-app\lib\src\core\network                                                                                  |          2 |        -94 |        -58 |        -23 |       -175 |
| d:\programming\github\clone-gg-app\lib\src\core\router                                                                                   |          1 |        -59 |          0 |         -2 |        -61 |
| d:\programming\github\clone-gg-app\lib\src\core\services                                                                                 |          6 |     -3,784 |       -353 |       -536 |     -4,673 |
| d:\programming\github\clone-gg-app\lib\src\features                                                                                      |         45 |    -14,711 |       -581 |     -1,091 |    -16,383 |
| d:\programming\github\clone-gg-app\lib\src\features\agent                                                                                |         25 |    -10,437 |       -468 |       -786 |    -11,691 |
| d:\programming\github\clone-gg-app\lib\src\features\agent\data                                                                           |         13 |     -1,496 |        -32 |       -116 |     -1,644 |
| d:\programming\github\clone-gg-app\lib\src\features\agent\data\models                                                                    |         12 |     -1,254 |         -2 |        -88 |     -1,344 |
| d:\programming\github\clone-gg-app\lib\src\features\agent\data\repositories                                                              |          1 |       -242 |        -30 |        -28 |       -300 |
| d:\programming\github\clone-gg-app\lib\src\features\agent\domain                                                                         |          1 |         -2 |         -3 |         -1 |         -6 |
| d:\programming\github\clone-gg-app\lib\src\features\agent\domain\repositories                                                            |          1 |         -2 |         -3 |         -1 |         -6 |
| d:\programming\github\clone-gg-app\lib\src\features\agent\presentation                                                                   |         11 |     -8,939 |       -433 |       -669 |    -10,041 |
| d:\programming\github\clone-gg-app\lib\src\features\agent\presentation\pages                                                             |         10 |     -8,776 |       -426 |       -648 |     -9,850 |
| d:\programming\github\clone-gg-app\lib\src\features\agent\presentation\widgets                                                           |          1 |       -163 |         -7 |        -21 |       -191 |
| d:\programming\github\clone-gg-app\lib\src\features\auth                                                                                 |          8 |       -806 |        -48 |        -84 |       -938 |
| d:\programming\github\clone-gg-app\lib\src\features\auth\data                                                                            |          2 |       -154 |         -5 |        -16 |       -175 |
| d:\programming\github\clone-gg-app\lib\src\features\auth\data\models                                                                     |          1 |        -88 |         -1 |         -6 |        -95 |
| d:\programming\github\clone-gg-app\lib\src\features\auth\data\repositories                                                               |          1 |        -66 |         -4 |        -10 |        -80 |
| d:\programming\github\clone-gg-app\lib\src\features\auth\domain                                                                          |          2 |        -32 |         -1 |         -5 |        -38 |
| d:\programming\github\clone-gg-app\lib\src\features\auth\domain\entities                                                                 |          1 |        -25 |          0 |         -3 |        -28 |
| d:\programming\github\clone-gg-app\lib\src\features\auth\domain\repositories                                                             |          1 |         -7 |         -1 |         -2 |        -10 |
| d:\programming\github\clone-gg-app\lib\src\features\auth\presentation                                                                    |          4 |       -620 |        -42 |        -63 |       -725 |
| d:\programming\github\clone-gg-app\lib\src\features\auth\presentation\bloc                                                               |          3 |        -95 |         -1 |        -23 |       -119 |
| d:\programming\github\clone-gg-app\lib\src\features\auth\presentation\pages                                                              |          1 |       -525 |        -41 |        -40 |       -606 |
| d:\programming\github\clone-gg-app\lib\src\features\boss                                                                                 |          1 |       -331 |        -11 |        -15 |       -357 |
| d:\programming\github\clone-gg-app\lib\src\features\boss\presentation                                                                    |          1 |       -331 |        -11 |        -15 |       -357 |
| d:\programming\github\clone-gg-app\lib\src\features\boss\presentation\pages                                                              |          1 |       -331 |        -11 |        -15 |       -357 |
| d:\programming\github\clone-gg-app\lib\src\features\collector                                                                            |          1 |       -310 |         -3 |        -14 |       -327 |
| d:\programming\github\clone-gg-app\lib\src\features\collector\presentation                                                               |          1 |       -310 |         -3 |        -14 |       -327 |
| d:\programming\github\clone-gg-app\lib\src\features\collector\presentation\pages                                                         |          1 |       -310 |         -3 |        -14 |       -327 |
| d:\programming\github\clone-gg-app\lib\src\features\forwarder                                                                            |          1 |       -186 |         -2 |         -9 |       -197 |
| d:\programming\github\clone-gg-app\lib\src\features\forwarder\presentation                                                               |          1 |       -186 |         -2 |         -9 |       -197 |
| d:\programming\github\clone-gg-app\lib\src\features\forwarder\presentation\pages                                                         |          1 |       -186 |         -2 |         -9 |       -197 |
| d:\programming\github\clone-gg-app\lib\src\features\marketing                                                                            |          6 |     -1,549 |        -27 |       -109 |     -1,685 |
| d:\programming\github\clone-gg-app\lib\src\features\marketing\data                                                                       |          1 |       -213 |         -3 |        -22 |       -238 |
| d:\programming\github\clone-gg-app\lib\src\features\marketing\data\models                                                                |          1 |       -213 |         -3 |        -22 |       -238 |
| d:\programming\github\clone-gg-app\lib\src\features\marketing\presentation                                                               |          5 |     -1,336 |        -24 |        -87 |     -1,447 |
| d:\programming\github\clone-gg-app\lib\src\features\marketing\presentation\pages                                                         |          3 |     -1,152 |        -15 |        -80 |     -1,247 |
| d:\programming\github\clone-gg-app\lib\src\features\marketing\presentation\widgets                                                       |          2 |       -184 |         -9 |         -7 |       -200 |
| d:\programming\github\clone-gg-app\lib\src\features\navbars                                                                              |          1 |       -174 |         -7 |        -22 |       -203 |
| d:\programming\github\clone-gg-app\lib\src\features\packer                                                                               |          1 |       -421 |         -6 |        -21 |       -448 |
| d:\programming\github\clone-gg-app\lib\src\features\packer\presentation                                                                  |          1 |       -421 |         -6 |        -21 |       -448 |
| d:\programming\github\clone-gg-app\lib\src\features\packer\presentation\pages                                                            |          1 |       -421 |         -6 |        -21 |       -448 |
| d:\programming\github\clone-gg-app\lib\src\features\warehouse_manager                                                                    |          1 |       -497 |         -9 |        -31 |       -537 |
| d:\programming\github\clone-gg-app\lib\src\features\warehouse_manager\presentation                                                       |          1 |       -497 |         -9 |        -31 |       -537 |
| d:\programming\github\clone-gg-app\lib\src\features\warehouse_manager\presentation\pages                                                 |          1 |       -497 |         -9 |        -31 |       -537 |
| d:\programming\github\clone-gg-app\lib\src\theme                                                                                         |          3 |       -150 |        -14 |        -21 |       -185 |
| src                                                                                                                                      |         64 |     20,784 |      1,665 |      1,864 |     24,313 |
| src\Utility                                                                                                                              |          1 |         63 |          2 |          7 |         72 |
| src\core                                                                                                                                 |         10 |      4,148 |        426 |        589 |      5,163 |
| src\core\database                                                                                                                        |          1 |        203 |         15 |         28 |        246 |
| src\core\network                                                                                                                         |          2 |         94 |         58 |         23 |        175 |
| src\core\router                                                                                                                          |          1 |         67 |          0 |          2 |         69 |
| src\core\services                                                                                                                        |          6 |      3,784 |        353 |        536 |      4,673 |
| src\features                                                                                                                             |         50 |     16,423 |      1,223 |      1,247 |     18,893 |
| src\features\agent                                                                                                                       |         29 |     12,108 |      1,110 |        939 |     14,157 |
| src\features\agent\data                                                                                                                  |         13 |      1,496 |         32 |        116 |      1,644 |
| src\features\agent\data\models                                                                                                           |         12 |      1,254 |          2 |         88 |      1,344 |
| src\features\agent\data\repositories                                                                                                     |          1 |        242 |         30 |         28 |        300 |
| src\features\agent\domain                                                                                                                |          1 |          2 |          3 |          1 |          6 |
| src\features\agent\domain\repositories                                                                                                   |          1 |          2 |          3 |          1 |          6 |
| src\features\agent\presentation                                                                                                          |         15 |     10,610 |      1,075 |        822 |     12,507 |
| src\features\agent\presentation\pages                                                                                                    |         14 |     10,447 |      1,068 |        801 |     12,316 |
| src\features\agent\presentation\widgets                                                                                                  |          1 |        163 |          7 |         21 |        191 |
| src\features\auth                                                                                                                        |          8 |        806 |         48 |         84 |        938 |
| src\features\auth\data                                                                                                                   |          2 |        154 |          5 |         16 |        175 |
| src\features\auth\data\models                                                                                                            |          1 |         88 |          1 |          6 |         95 |
| src\features\auth\data\repositories                                                                                                      |          1 |         66 |          4 |         10 |         80 |
| src\features\auth\domain                                                                                                                 |          2 |         32 |          1 |          5 |         38 |
| src\features\auth\domain\entities                                                                                                        |          1 |         25 |          0 |          3 |         28 |
| src\features\auth\domain\repositories                                                                                                    |          1 |          7 |          1 |          2 |         10 |
